연번,화재발생년월일,시도,시군구,발화요인대분류,발화요인소분류,차량장소,층수,지상지하,차량상태,차량발화지점
1,2024-01-08,부산광역시,기장군,전기적 요인,접촉불량에 의한 단락,일반도로,지상1층,지상,운행중,엔진룸
2,2024-01-12,경상남도,통영시,부주의,담배꽁초,주차장,지상1층,지상,주차,적재함
3,2024-01-12,경기도,안양시만안구,화학적 요인,기타(화학적요인),주차장,지상1층,지상,충전중,기타차량위치
4,2024-01-23,울산광역시,북구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
5,2024-01-26,대구광역시,달서구,부주의,"불씨,불꽃,화원방치",일반도로,지상1층,지상,운행중,적재함
6,2024-01-27,경기도,수원시장안구,화학적 요인,화학적 폭발,주차장,지상1층,지상,주차,기타차량위치
7,2024-02-02,강원특별자치도,삼척시,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
8,2024-02-21,경상남도,김해시,전기적 요인,기타(전기적요인),주차장,지상3층,지상,주차,기타차량위치
9,2024-02-29,서울특별시,관악구,교통사고,교통사고,터널,지상1층,지상,운행중,바퀴
10,2024-03-06,경상남도,진주시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
11,2024-03-07,충청북도,충주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
12,2024-03-08,강원특별자치도,춘천시,전기적 요인,기타(전기적요인),주차장,지상1층,지상,충전중,기타차량위치
13,2024-03-10,광주광역시,북구,전기적 요인,접촉불량에 의한 단락,주차장,지상1층,지상,충전중,기타차량위치
14,2024-03-19,전라남도,광양시,전기적 요인,절연열화에 의한 단락,일반도로,지상1층,지상,운행중,기타차량위치
15,2024-03-22,광주광역시,광산구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
16,2024-03-24,인천광역시,미추홀구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
17,2024-04-02,경기도,여주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
18,2024-04-08,경상남도,양산시,부주의,담배꽁초,고속도로,지상1층,지상,운행중,적재함
19,2024-04-15,경기도,파주시,전기적 요인,미확인단락,주차장,지상1층,지상,주차,적재함
20,2024-05-03,경기도,김포시,화학적 요인,기타(화학적요인),공지,지상1층,지상,주차,기타차량위치
21,2024-05-05,인천광역시,강화군,기계적 요인,"과열, 과부하",일반도로,지상1층,지상,운행중,미상
22,2024-05-07,경기도,김포시,화학적 요인,화학적 폭발,주차장,지하2층,지하,주차,기타차량위치
23,2024-05-08,전북특별자치도,군산시,전기적 요인,기타(전기적요인),주차장,지하2층,지하,주차,기타차량위치
24,2024-05-10,충청남도,아산시,기계적 요인,"과열, 과부하",주차장,지상1층,지상,주차,엔진룸
25,2024-05-14,강원특별자치도,홍천군,부주의,담배꽁초,고속도로,지상1층,지상,운행중,적재함
26,2024-05-18,경기도,광주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
27,2024-05-22,충청남도,보령시,전기적 요인,접촉불량에 의한 단락,일반도로,지상1층,지상,운행중,트렁크
28,2024-05-25,제주특별자치도,서귀포시,미상,미상,일반도로,지상1층,지상,운행중,적재함
29,2024-06-30,인천광역시,남동구,화학적 요인,화학적 폭발,일반도로,지상1층,지상,운행중,기타차량위치
30,2024-07-06,인천광역시,연수구,전기적 요인,기타(전기적요인),주차장,지하1층,지하,충전중,기타차량위치
31,2024-07-08,경기도,평택시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
32,2024-07-17,전라남도,장흥군,교통사고,교통사고,공지,지상1층,지상,운행중,기타차량위치
33,2024-07-31,부산광역시,금정구,미상,미상,기타 도로,지상1층,지상,주차,미상
34,2024-08-01,인천광역시,서구,미상,미상,주차장,지하1층,지하,주차,기타차량위치
35,2024-08-05,강원특별자치도,속초시,부주의,담배꽁초,일반도로,지상1층,지상,정차,적재함
36,2024-08-06,충청남도,금산군,전기적 요인,기타(전기적요인),주차장,지상1층,지상,주차,기타차량위치
37,2024-08-10,경기도,구리시,전기적 요인,절연열화에 의한 단락,공지,지상1층,지상,충전중,미상
38,2024-08-16,경기도,용인시기흥구,화학적 요인,화학적 발화(유증기 확산),일반도로,지상1층,지상,정차,엔진룸
39,2024-08-31,경기도,남양주시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
40,2024-09-09,제주특별자치도,제주시,전기적 요인,기타(전기적요인),주차장,지하1층,지하,충전중,기타차량위치
41,2024-09-11,제주특별자치도,제주시,미상,미상,일반도로,지상3층,지상,운행중,트렁크
42,2024-09-11,서울특별시,강동구,전기적 요인,미확인단락,고속도로,지상1층,지상,운행중,적재함
43,2024-09-15,전북특별자치도,남원시,기계적 요인,"과열, 과부하",주차장,지상1층,지상,주차,앞좌석
44,2024-09-18,제주특별자치도,제주시,전기적 요인,기타(전기적요인),주차장,지상1층,지상,충전중,기타차량위치
45,2024-09-24,서울특별시,구로구,화학적 요인,자연발화,주차장,지상1층,지상,주차,적재함
46,2024-09-25,경기도,용인시기흥구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
47,2024-09-27,경상남도,산청군,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
48,2024-10-02,경기도,수원시권선구,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
49,2024-10-04,제주특별자치도,제주시,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
50,2024-10-09,전북특별자치도,전주시덕진구,화학적 요인,기타(화학적요인),주차장,지하4층,지하,충전중,기타차량위치
51,2024-10-10,경기도,안성시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
52,2024-10-14,경기도,파주시,기계적 요인,"과열, 과부하",일반도로,지상1층,지상,운행중,적재함
53,2024-10-18,충청북도,청주시 청원구,화학적 요인,화학적 폭발,주차장,지상1층,지상,주차,적재함
54,2024-10-26,강원특별자치도,원주시,미상,미상,일반도로,지상1층,지상,운행중,엔진룸
55,2024-11-04,전라남도,무안군,부주의,"기기(전기, 기계 등) 사용.설치부주의",고속도로,지상1층,지상,운행중,바퀴
56,2024-11-04,울산광역시,남구,미상,미상,일반도로,지상1층,지상,운행중,적재함
57,2024-11-06,경기도,여주시,부주의,담배꽁초,주차장,지상1층,지상,주차,적재함
58,2024-11-08,서울특별시,서대문구,전기적 요인,기타(전기적요인),주차장,지상1층,지상,충전중,미상
59,2024-11-14,충청남도,아산시,전기적 요인,미확인단락,주차장,지하1층,지하,충전중,미상
60,2024-11-14,경기도,용인시기흥구,화학적 요인,화학적 발화(유증기 확산),주차장,지상1층,지상,주차,기타차량위치
61,2024-11-21,부산광역시,강서구,교통사고,교통사고,일반도로,지상1층,지상,운행중,미상
62,2024-11-29,대구광역시,동구,전기적 요인,"압착,손상에 의한 단락",주차장,지상1층,지상,운행중,기타차량위치
63,2024-12-03,경기도,시흥시,부주의,담배꽁초,고속도로,지상1층,지상,운행중,적재함
64,2024-12-11,충청남도,부여군,부주의,"기기(전기, 기계 등) 사용.설치부주의",일반도로,지상1층,지상,주차,앞좌석
65,2024-12-12,전북특별자치도,익산시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
66,2024-12-14,경기도,여주시,부주의,"불씨,불꽃,화원방치",공지,지상1층,지상,주차,앞좌석
67,2024-12-18,경상남도,창원시 의창구,기계적 요인,"과열, 과부하",주차장,지상1층,지상,주차,앞좌석
68,2024-12-19,부산광역시,중구,기계적 요인,"과열, 과부하",일반도로,지상1층,지상,운행중,바퀴
69,2024-12-21,충청북도,청주시 서원구,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
70,2024-12-21,경상북도,포항시북구,미상,미상,일반도로,지상1층,지상,운행중,미상
71,2024-12-23,경상남도,김해시,미상,미상,일반도로,지상1층,지상,정차,기타차량위치
72,2024-12-28,경기도,구리시,미상,미상,주차장,지상1층,지상,주차,바퀴
73,2024-12-29,제주특별자치도,제주시,교통사고,교통사고,일반도로,지상1층,지상,운행중,기타차량위치
